YearMonth,AWND,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,Crude_Oil_Price,Gasoline_Price,Domestic_Passengers,International_Passengers,Total_Traffic
2008-11-01,3.187058823529412,6.0,0.2,83.78,0.0,,61.98769230769231,75.08879492600423,53.65433403805497,65.0,57.31,2.523,3114755,1161613,4276368
2008-12-01,3.3720564516129032,10.0,0.38,121.23,0.0,,49.54545454545455,62.22593718338399,43.394123606889565,55.04135338345865,41.12,1.816,3381284,1276304,4657588
2009-01-01,3.36008064516129,11.0,0.34,22.92,0.0,,56.80530973451327,69.87770562770562,48.61904761904762,60.54379562043796,41.71,1.978,3014383,1254006,4268389
2009-02-01,3.876517857142857,28.0,15.51,217.33,0.0,,50.36038961038961,63.81768558951965,45.02950819672131,56.606617647058826,39.09,2.2,2761601,1030099,3791700
2009-03-01,4.361585365853658,17.0,0.08,19.03,0.0,,53.733137829912025,67.53861386138614,47.01285855588526,60.26599326599327,47.94,2.183,3377779,1194316,4572095
2009-04-01,5.047958333333333,6.0,0.04,2.44,0.0,,57.23364485981308,71.56556556556556,49.41123370110331,64.27044025157232,49.65,2.333,3412972,1228496,4641468
2009-05-01,5.090685483870968,33.0,0.0,0.25,0.0,,67.0,78.08608608608608,57.197989949748745,70.68561872909699,59.03,2.483,3497204,1148652,4645856
2009-06-01,4.873500000000001,9.0,0.17,4.53,0.0,,63.875757575757575,74.6987951807229,57.01203610832498,68.75657894736842,69.64,2.929,3774227,1266264,5040491
2009-07-01,4.788508064516129,13.0,0.0,0.29,0.0,,77.01201201201201,86.77744209466263,63.73541247484909,77.59861591695501,64.15,2.89,4114999,1489411,5604410
2009-08-01,4.436935483870967,9.0,0.0,0.02,0.0,,74.34375,86.09877800407332,62.64460285132383,77.53448275862068,71.05,3.015,3967986,1469456,5437442
2009-09-01,3.829958158995816,19.0,0.0,0.01,0.0,,76.02222222222223,88.24662576687116,64.06388206388206,79.07755102040817,69.41,3.128,3285664,1225195,4510859
2009-10-01,4.199433198380567,30.0,0.14,66.07,0.0,,63.84587813620072,76.67711598746081,55.44050104384134,67.89349112426035,75.72,3.033,3493306,1268326,4761632
2009-11-01,3.1414166666666667,5.0,0.0,1.19,0.0,,60.701550387596896,73.46206115515288,50.77210884353742,63.8271186440678,77.99,3.006,3245576,1174133,4419709
2009-12-01,3.506204081632653,26.0,7.55,154.42,0.0,,51.27956989247312,63.18338727076591,45.4185544768069,55.94202898550725,74.47,2.958,3474216,1352576,4826792
2010-01-01,3.631612903225806,30.0,12.18,305.58,0.0,,53.378181818181815,66.36942675159236,47.217853347502654,59.303754266211605,78.33,3.062,3245075,1364645,4609720
2010-02-01,4.006073059360731,22.0,10.25,238.87,0.0,,51.035714285714285,64.7715976331361,46.2,58.944,76.39,2.996,2831926,1128393,3960319
2010-03-01,4.7914814814814815,26.0,1.75,28.57,0.0,,54.59498207885304,69.33449477351917,47.69141531322506,63.21621621621622,81.2,3.086,3532959,1279067,4812026
2010-04-01,5.686625,27.0,2.16,68.8,0.0,,53.67037037037037,67.655,47.86533665835412,63.50191570881226,84.29,3.117,3439845,1247101,4686946
2010-05-01,5.395483870967742,23.0,0.0,3.33,0.0,,59.34875444839858,72.16705607476635,51.41988304093567,65.44932432432432,73.74,3.111,3626471,1330125,4956596
2010-06-01,4.924666666666667,43.0,0.0,0.33,0.0,,66.96666666666667,77.73659673659674,57.229336437718274,70.31118881118881,75.34,3.111,3887760,1423634,5311394
2010-07-01,4.932701612903226,72.0,0.24,0.21,0.0,,72.06451612903226,82.11416026344676,61.09978070175438,74.3972602739726,76.32,3.136,4143874,1548987,5692861
2010-08-01,4.512040816326531,44.0,0.0,0.04,0.0,,73.32544378698225,84.4220572640509,60.67762460233298,76.03041825095058,76.6,3.138,4101959,1515887,5617846
2010-09-01,3.914915254237288,9.0,0.0,0.54,0.0,,72.66666666666667,84.6495633187773,60.07306434023991,75.41960784313726,75.24,3.006,3432692,1262703,4695395
2010-10-01,3.854072580645161,36.0,2.1100000000000003,90.06,0.0,,61.778461538461535,73.62363238512035,56.48087431693989,67.28163265306122,81.89,3.105,3682677,1305408,4988085
2010-11-01,4.106625,23.0,3.6,52.56,0.0,,55.65757575757576,69.24804469273742,48.50615901455767,62.57205240174672,84.25,3.161,3483901,1205181,4689082
2010-12-01,3.730443548387097,62.0,43.54,461.52,0.0,,52.64391691394659,63.89106753812637,46.908396946564885,57.324894514767934,89.15,3.265,3725006,1324851,5049857
2011-01-01,4.935161290322581,0.0,0.0,0.8099999999999999,0.0,,,68.74193548387096,49.61290322580645,,89.17,3.363,3311036,1352145,4663181
2011-02-01,6.567857142857143,0.0,0.0,1.47,0.0,,,63.32142857142857,47.285714285714285,,88.58,3.544,2989739,1131797,4121536
2011-03-01,7.338387096774194,0.0,0.0,4.04,0.0,,,64.45161290322581,51.41935483870968,,102.86,3.98,3634367,1317432,4951799
