YearMonth,AWND,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
2012-08-01,7.130322580645161,0.0,0.0,0.0,0.0,,,78.0,66.48387096774194,
2012-09-01,6.456333333333333,0.0,0.0,0.0,0.0,,,78.7,65.76666666666667,
2012-10-01,6.559354838709678,0.0,0.0,0.15,0.0,,,76.35483870967742,61.645161290322584,
2012-11-01,6.174,0.0,0.0,1.31,0.0,,,69.73333333333333,55.63333333333333,
2012-12-01,6.147741935483872,0.0,0.0,2.8200000000000003,0.0,,,62.25806451612903,50.806451612903224,
2013-01-01,5.679354838709678,0.0,0.0,1.3,0.0,,,65.70967741935483,47.25806451612903,
2013-02-01,6.5024999999999995,0.0,0.0,0.2,0.0,,,64.75,47.464285714285715,
2013-03-01,6.559677419354839,0.0,0.0,0.66,0.0,,,65.3225806451613,53.03225806451613,
2013-04-01,8.382333333333333,0.0,0.0,0.06,0.0,,61.2,68.3,56.0,
2013-05-01,7.821935483870967,0.0,0.0,0.39,0.0,,65.61290322580645,72.54838709677419,60.483870967741936,
2013-06-01,7.4046666666666665,0.0,0.0,0.0,0.0,0.0,66.6,73.1,62.733333333333334,
2013-07-01,7.345483870967742,0.0,0.0,0.030000000000000002,0.0,,68.03225806451613,73.93548387096774,64.0,
2013-08-01,7.10741935483871,0.0,0.0,0.0,0.0,,67.54838709677419,74.12903225806451,63.064516129032256,
2013-09-01,6.874666666666667,0.0,0.0,0.0,0.0,,69.36666666666666,76.73333333333333,63.56666666666667,
2013-10-01,6.364193548387097,0.0,0.0,0.02,0.0,,65.19354838709677,73.12903225806451,58.32258064516129,
2013-11-01,5.526,0.0,0.0,0.69,0.0,,63.03333333333333,72.4,55.766666666666666,
2013-12-01,5.007096774193548,0.0,0.0,0.3,0.0,,58.61290322580645,69.41935483870968,48.58064516129032,
2014-01-01,4.553225806451613,0.0,0.0,0.0,0.0,,60.67741935483871,71.64516129032258,51.0,
2014-02-01,6.231071428571428,0.0,0.0,2.79,0.0,,58.857142857142854,66.78571428571429,52.642857142857146,
2014-03-01,7.388387096774193,0.0,0.0,0.36,0.0,,61.70967741935484,69.12903225806451,55.61290322580645,
2014-04-01,8.262,0.0,0.0,0.26,0.0,,61.93333333333333,69.76666666666667,55.5,
2014-05-01,8.161290322580646,0.0,0.0,0.0,0.0,,68.03225806451613,76.58064516129032,61.25806451612903,
2014-06-01,7.6209999999999996,0.0,0.0,0.0,0.0,,66.66666666666667,72.43333333333334,62.766666666666666,
2014-07-01,8.045806451612902,0.0,0.0,0.14,0.0,,70.7741935483871,77.0,66.6774193548387,
2014-08-01,7.728387096774193,0.0,0.0,0.030000000000000002,0.0,,70.25806451612904,76.64516129032258,65.83870967741936,
2014-09-01,7.218,0.0,0.0,0.02,0.0,,71.93333333333334,78.86666666666666,67.1,
2014-10-01,5.888064516129032,0.0,0.0,0.24,0.0,,69.06451612903226,77.19354838709677,62.74193548387097,
2014-11-01,5.8533333333333335,0.0,0.0,0.42000000000000004,0.0,,64.56666666666666,73.6,56.266666666666666,
2014-12-01,5.642903225806452,0.0,0.0,4.04,0.0,,58.25806451612903,64.90322580645162,51.45161290322581,
2015-01-01,4.365161290322581,0.0,0.0,1.25,0.0,,59.225806451612904,68.7741935483871,50.87096774193548,
2015-02-01,6.071785714285714,0.0,0.0,0.27,0.0,,60.357142857142854,68.71428571428571,53.357142857142854,
2015-03-01,6.263870967741935,0.0,0.0,0.49,0.0,,63.67741935483871,73.25806451612904,55.70967741935484,
2015-04-01,8.128,0.0,0.0,0.11,0.0,,61.7,69.63333333333334,54.833333333333336,
2015-05-01,8.341612903225805,0.0,0.0,0.43000000000000005,0.0,,60.32258064516129,66.2258064516129,55.83870967741935,
2015-06-01,7.606,0.0,0.0,0.01,0.0,,65.16666666666667,71.56666666666666,61.06666666666667,
2015-07-01,8.075161290322582,0.0,0.0,0.35,0.0,,69.25806451612904,75.38709677419355,65.2258064516129,
2015-08-01,7.323870967741935,0.0,0.0,0.0,0.0,,71.70967741935483,78.35483870967742,67.19354838709677,
2015-09-01,6.525333333333333,0.0,0.0,1.81,0.0,,74.16666666666667,81.2,69.0,
2015-10-01,6.862580645161291,0.0,0.0,0.1,0.0,,73.2258064516129,81.2258064516129,66.7741935483871,
2015-11-01,7.031333333333333,0.0,0.0,0.06,0.0,,62.333333333333336,72.06666666666666,52.36666666666667,
2015-12-01,7.0280645161290325,0.0,0.0,1.08,0.0,,57.32258064516129,66.06451612903226,48.58064516129032,
2016-01-01,6.047096774193549,0.0,0.0,2.94,0.0,,57.096774193548384,64.03225806451613,49.903225806451616,
2016-02-01,5.460689655172414,0.0,0.0,0.73,0.0,,62.41379310344828,73.41379310344827,52.62068965517241,
2016-03-01,8.43483870967742,0.0,0.0,1.4600000000000002,0.0,,60.12903225806452,67.06451612903226,53.903225806451616,
2016-04-01,8.179333333333334,0.0,0.0,0.29000000000000004,0.0,,62.8,70.76666666666667,56.3,
2016-05-01,8.14,0.0,0.0,0.5900000000000001,0.0,,61.774193548387096,67.80645161290323,57.74193548387097,
2016-06-01,7.874,0.0,0.0,0.0,0.0,,66.16666666666667,73.16666666666667,61.3,
2016-07-01,8.27,0.0,0.0,0.0,0.0,,70.58064516129032,77.41935483870968,65.87096774193549,
2016-08-01,8.348709677419356,0.0,0.0,0.0,0.0,,69.45161290322581,76.09677419354838,65.03225806451613,
2016-09-01,7.785,0.0,0.0,0.01,0.0,,70.26666666666667,77.73333333333333,64.43333333333334,
2016-10-01,7.115161290322581,0.0,0.0,0.36,0.0,,67.3225806451613,75.54838709677419,60.96774193548387,
2016-11-01,6.165333333333334,0.0,0.0,1.1099999999999999,0.0,,63.96666666666667,74.5,55.13333333333333,
2016-12-01,6.999354838709677,0.0,0.0,2.7800000000000002,0.0,,57.87096774193548,65.80645161290323,50.483870967741936,
